==============================================================================================
There are 173 records found

Search criteria:
  Start: 2020-01-01		End: 2022-01-05
  0 <= ML <= 10 		0 <= Depth <= 999 		0 <= Plunge <= 90
  Realtime Solutions

File Header:
Date, Time, Latitude, Longitude, CWB Depth, ML, strike1, dip1, slip1, strike2, dip2, slip2, m11, m22, m33, m12, m13, m23, Mrr, Mtt, Mff, Mrt, Mrf, Mtf, exponentexponent, M0, Mw, Centroid_depth, CLVD, ISO, misfit, gap, nsta, Paz, Ppl, Baz, Bpl, Taz, Tpl, QC
2020-02-26,05:34:15.5,23.8800,121.6200,24.80,4.70,272.18,40.50,140.02,34.70,65.34,56.80,-1.833433,0.036228,1.797205,1.074459,0.169353,-1.790890,1.797205,-1.833433,0.036228,0.169353,1.790890,-1.074460,22,2.77251e+22,4.23,25,27.3,0.0,0.264,206.900,7,148.226,14.041,49.976,29.845,-99.677,56.383,A3
2020-03-15,01:52:59.5,23.1500,120.5700,13.20,4.20,47.21,41.54,107.33,204.58,50.72,75.22,-2.228995,-3.939535,6.168530,2.681710,0.551576,1.600900,6.168530,-2.228995,-3.939535,0.551576,-1.600900,-2.681710,21,6.27122e+21,3.80,18,16.8,0.0,0.274,171.500,7,-54.991,4.683,-145.936,11.393,56.995,77.658,A2
2020-04-08,23:49:19.5,24.2600,121.8500,24.30,4.80,87.31,17.26,-29.96,206.13,81.48,-105.07,0.384513,-1.029672,-2.497343,-0.894619,1.477596,-3.821095,-2.497343,0.384513,-1.029672,1.477596,3.821100,0.894619,22,4.61593e+22,4.38,26,21.5,-18.3,0.228,254.100,7,99.060,51.264,-151.575,14.896,-50.927,34.784,A4
2020-04-10,16:44:56.5,20.5300,122.2300,182.10,6.40,9.99,21.30,125.43,152.63,72.78,77.26,0.043141,-4.318947,4.275807,-0.490446,3.288997,4.964368,4.275807,0.043141,-4.318947,3.288997,-4.964370,0.490446,24,7.36015e+24,5.85,170,13.6,0.0,0.414,333.700,7,-107.326,26.712,156.451,12.156,44.321,60.238,B2
2020-04-12,11:36:41.5,24.0600,122.2100,44.70,5.30,164.89,64.50,24.39,63.84,68.12,152.36,2.094172,-4.318110,2.230720,3.696998,1.981887,0.552714,2.230720,2.094172,-4.318110,1.981887,-0.552714,-3.697000,22,5.64845e+22,4.44,36,27.9,0.0,0.458,270.800,7,115.021,2.342,-151.594,55.289,23.404,34.609,B3
2020-04-21,15:02:11.5,24.0800,121.7600,38.00,4.50,282.43,33.74,-7.86,18.98,85.65,-123.49,1.367614,-1.784399,-1.241879,-2.577184,-1.244058,4.328699,-1.241879,1.367614,-1.784399,-1.244058,-4.328700,2.577180,21,5.49778e+21,3.76,37,0.1,-9.2,0.256,261.700,7,-101.602,39.920,21.856,33.381,136.469,32.296,A1
2020-04-27,11:16:48.5,23.1100,120.9200,5.00,4.30,268.55,67.31,-174.46,176.41,84.89,-22.79,0.185159,0.007297,-0.192457,1.174443,0.001956,-0.471065,-0.192457,0.185159,0.007297,0.001956,0.471065,-1.174440,22,1.27942e+22,4.01,6,20.4,0.0,0.323,102.200,7,130.204,19.618,-15.564,66.678,-135.410,12.110,B3
2020-04-27,11:58:53.5,23.1200,120.9200,5.00,4.30,268.56,53.56,-171.66,173.59,83.30,-36.73,2.166873,-0.657121,-1.564507,9.632082,0.570314,-7.259888,-1.564507,2.166873,-0.657121,0.570314,7.259890,-9.632080,21,1.22309e+22,4.00,3,5.3,-0.2,0.344,102.000,7,124.540,30.167,-15.304,52.747,-133.432,19.724,B1
2020-05-03,03:24:40.5,23.2300,121.6100,40.40,5.90,13.75,40.80,79.37,207.67,50.04,99.05,-0.508605,-5.747905,9.404396,2.278495,-1.529452,0.812940,9.404396,-0.508605,-5.747905,-1.529452,-0.812940,-2.278490,23,8.31033e+23,5.22,41,19.7,10.9,0.331,179.600,7,-68.730,4.656,21.836,6.923,167.596,81.644,B4
2020-05-24,22:31:30.5,24.3500,121.9500,17.60,5.20,289.84,18.58,-131.67,153.04,76.23,-77.40,2.412940,0.791931,-6.072990,2.413273,-3.222772,-8.303828,-6.072990,2.412940,0.791931,-3.222772,8.303830,-2.413270,22,1.03358e+23,4.61,23,21.6,-8.1,0.331,275.300,7,79.481,56.987,-30.008,12.230,-127.234,30.129,B3
